name;traditional_funding_before;traditional_funding_after;%;profit;blockchain;single;token_utility_product;only_payment;transaction;generation;other_usage;main_value;voting_shareholder;voting_product;voting_other;profit_sharing;info;coin_offered;cap_money;same_price;expensive;cap_time;bitcoin;Ethereum;other_bc;bs;other_p;transaction_fee
ÊvSlice;0;0;1;1;1;0;0;0;0;0;1;2;0;0;0;1;1;1;1;0;1;1;0;1;0;0;0;0
ÊMelon;0;0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0,4;1;1;0;1;0;1;0;0;0;1
ÊXaurum;0;0;1;0;1;0;0;0;1;1;0;3;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0
ÊBitBay;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0
ÊDigitalNote;0;0;1;0;1;1;0;0;1;1;0;3;0;0;0;0;1;0,148;1;0;1;1;1;0;0;0;1;0
ÊTaaS;0;0;1;1;0;0;1;1;0;0;0;2;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0
ÊSynereo 1;0;1;0,51;0;1;1;1;1;0;1;0;1;0;0;0;0;1;0,19;1;0;1;1;1;0;0;0;1;0
ÊSynereo 2;1;0;0,95;0;1;1;1;1;0;1;0;1;0;0;0;0;1;0,03;1;0;1;1;1;0;0;0;1;0
ÊION;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;0,46;1;0;1;1;0;0;0;0;1;0
ÊQuantum Resis...;0;0;1;0;1;1;0;0;1;1;0;3;0;0;1;0;1;0,4952;1;1;0;1;1;1;0;0;0;0
ÊMysterium;0;0;1;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0,89;1;0;1;1;0;1;0;1;0;1
ÊRialto;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0
ÊadToken;0;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;1;0,5;1;1;0;1;0;1;0;0;0;1
ÊGolos;0;0;1;0;1;1;1;1;0;0;0;1;0;0;1;0;1;0,6;1;0;1;0;1;0;1;0;0;0
ÊSafe Exchange...;0;0;1;1;1;1;0;0;0;0;1;2;0;1;1;1;1;0,99;0;0;1;1;1;0;1;0;0;0
ÊEcobit;0;0;1;1;0;0;0;0;0;0;1;2;0;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0
ÊPolybius;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;1;0,93;0;0;1;1;1;1;0;0;1;0
ÊTokenCard;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0,65;1;0;1;1;0;1;1;1;0;1
ÊWagerr;0;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0,85;1;0;1;1;1;0;0;0;1;0
ÊOBITS;0;0;1;1;1;1;0;0;1;0;0;2;1;1;0;1;1;0,7;1;0;1;1;1;0;1;0;1;0
ÊVoxels;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;1;0,15;1;0;1;1;1;0;0;0;0;0
ÊDatabits;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0,7;1;0;1;1;1;0;0;0;1;0
ÊBankcoin;0;0;1;1;1;1;0;1;1;1;0;3;0;0;0;0;0;0,72;1;0;1;1;1;1;1;0;0;0
ÊWeTrust;0;0;1;1;1;0;1;1;0;0;0;1;0;0;1;0;1;0,8;1;0;1;1;1;1;0;0;0;0
ÊSONM;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;1;1;0,7463;1;1;0;1;0;1;0;0;0;0
