name	traditional_funding_before	traditional_funding_after	%	profit	blockchain	single	token_utility_product	only_payment	transaction	generation	other_usage	voting_shareholder	voting_product	voting_other	profit_sharing	info	funding	coin_offered	cap_money	same_price	expensive	ICO_days	cap_time	bitcoin	Ethereum	other_bc	bs	other_p	transaction_fee	u_access_service	u_profit_sharing	u_transaction	u_other
DECENT	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	4740000	0.7	1	0	1	56	1	1	0	0	0	1	0	1	0	0	0
Blocknet	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	950064.4661	0.6323	1	1	0	30	1	1	0	0	0	0	0	0	0	1	0
Edgeless	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	2000000	0.88	1	0	1	21	1	0	1	0	0	1	0	0	1	0	0
ReddCoin	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	100000	0.05	1	1	0	26	1	1	0	0	0	0	0	0	0	1	0
Round	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	650000	0.63	1	1	0	0.01	1	0	1	0	0	0	1	1	0	0	0
Peerplays	1	0	0.5263	1	1	1	0	0	0	0	1	1	1	0	1	1	5000000	0.16	1	0	1	84	1	1	0	0	0	0	0	0	1	0	0
Wings	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1400000	0.75	1	0	1	49	1	1	1	1	0	0	0	1	0	0	0
Etheroll	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	355208	0.91	1	0	1	14	1	0	1	0	0	0	0	1	0	0	0
Pillar	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	21210000	0.72	1	1	0	2.5	1	0	1	0	0	0	0	1	0	0	0
iExec RLC	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	12000000	0.69	1	0	1	0.23	1	1	1	0	0	0	1	1	0	0	0
vSlice	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1647000	1	1	0	1	28	1	0	1	0	0	0	0	0	1	0	0
