name,traditional_funding_before,traditional_funding_after,profit,blockchain,single,token_utility_product,only_payment,transaction,generation,other_usage,main_value,voting_shareholder,voting_product,voting_other,profit_sharing,info,cap_money,same_price,expensive,cap_time,bitcoin,Ethereum,other_bc,bs,other_p,transaction_fee
Veritaseum,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Waves,0,0,1,1,1,0,1,1,1,1,3,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0
Augur,0,0,1,1,0,0,0,0,0,1,2,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0
Populous,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
MaidSafeCoin,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0
DigixDAO,0,0,1,1,0,0,1,0,0,1,2,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0
OmiseGo,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1
Komodo,0,0,0,1,1,0,1,1,1,0,3,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0
TenX,1,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1
MobileGo,0,0,1,0,0,1,1,0,0,1,4,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0
Metal,1,0,1,1,0,0,1,1,0,0,3,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0
SingularDTV,0,0,1,0,0,1,0,0,0,1,2,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1
SysCoin,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0
FirstBlood,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1
Aragon,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1
Ark,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0
Metaverse Ent...,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0
FunFair,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0
Nexus,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0
DECENT,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
Blocknet,0,0,1,1,1,1,1,0,0,0,3,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Edgeless,0,0,1,1,0,1,0,0,0,1,2,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0
ReddCoin,0,0,0,1,1,0,1,1,1,0,3,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
Round,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
Peerplays,1,0,1,1,1,0,0,0,0,1,2,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0
Wings,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0
Etheroll,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0
Pillar,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0
iExec RLC,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
 vSlice,0,0,1,1,0,0,0,0,0,1,2,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0
 Melon,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1
 Xaurum,0,0,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
 BitBay,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
 DigitalNote,0,0,0,1,1,0,0,1,1,0,3,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
 TaaS,0,0,1,0,0,1,1,0,0,0,2,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0
 Synereo 1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
 Synereo 2,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
 ION,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0
 Quantum Resis...,0,0,0,1,1,0,0,1,1,0,3,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0
 Mysterium,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1
 Rialto,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0
 adToken,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1
 Golos,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0
 Safe Exchange...,0,0,1,1,1,0,0,0,0,1,2,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0
 Ecobit,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0
 Polybius,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0
 TokenCard,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1
 Wagerr,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0
 OBITS,0,0,1,1,1,0,0,1,0,0,2,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
 Voxels,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
 Databits,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
 Bankcoin,0,0,1,1,1,0,1,1,1,0,3,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0
 WeTrust,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0
 SONM,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
 Agoras Tokens,0,0,0,1,1,0,0,1,1,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
 Santiment Net...,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1
 NeosCoin,0,0,0,1,1,0,1,1,1,0,3,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
 Cofound.it,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0
 BCAP,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
 Chronobank,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0
 Nexium,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0
 E-coin,0,0,0,1,1,0,1,1,0,0,3,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0
 Patientory,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0
 Pluton,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
 SaluS,0,0,0,1,1,0,0,1,1,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
