name,traditional_funding_before,traditional_funding_after,%,profit,opensource_solution,nonprofit_cryptocurrency,existence_m,fte,blockchain,single,token_utility_product,only_payment,transaction,generation,other_usage,voting_shareholder,voting_product,voting_other,profit_sharing,non-dividend_return,info,funding,coin_offered,cap_money,same_price,expensive,cheaper,price_ratio,start_date,ICO_days,cap_time,bitcoin,Ethereum,other_bc,bs,other_p,minimum_pledge,high_transaction_fee,u_access_service,u_profit_sharing,u_transaction,u_other,platform_used,bigger_than_10m,mojority_offered,In_2017,traditional_funding,sold_fast,big_team,funding_standardized
Tezos,0,0,1,0,1,0,36,2,1,1,0,1,1,0,0,0,0,0,0,0,1,232000000,0.79,0,0,1,0,1.2,Jul-17,14,1,1,1,0,0,0,200,0,0,0,1,0,0,1,1,1,0,0,0,0.7733195238
NEM,0,0,1,0,1,0,Unknown,4,1,1,1,1,0,1,0,0,0,1,0,0,0,50000,1.00,1,0,1,0,55,Jan-14,15,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0001057525
Stratis,0,0,1,1,0,0,1,9,1,1,1,0,0,1,1,0,0,0,0,0,1,600000,0.86,0,0,1,0,1.2,Jul-16,35,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0019391975
NEO (2nd),0,0,1,0,1,0,26,12,1,1,1,1,0,1,1,1,1,0,0,1,1,4500000,0.23,0,0,1,0,1.2,Aug-16,31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0149399896
BitConnect,0,0,1,0,0,1,1,Unknown,1,1,0,1,1,1,0,0,0,0,0,0,1,1050000,0.17,0,0,1,0,1.4,Nov-16,56,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0034392889
Veritaseum,0,0,1,1,0,0,30,5+,1,0,0,0,0,0,0,0,0,0,0,0,0,11000000,0.51,0,0,1,0,1.2,Apr-17,31,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0366079762
Waves,0,0,1,1,0,0,3,11,1,1,0,1,0,1,1,0,1,0,0,0,1,16000000,0.85,0,0,1,0,1.2,Apr-16,33,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0532756583
Augur,0,0,1,1,0,0,12,Unknown,1,0,0,0,0,0,1,0,0,1,1,0,1,5300000,0.80,0,0,1,0,1.15,Aug-15,45,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0.0176068187
Populous,0,0,1,1,0,0,24,3,1,0,1,1,0,0,0,0,0,0,0,0,1,10220400,0.66,1,0,0,0,1.2,Jul-17,19,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.0340091513
MaidSafeCoin,0,1,0.79,0,1,0,95,Unknown,1,1,1,1,0,1,0,0,0,0,0,0,0,6000000,0.10,1,1,0,0,1,Apr-14,0.25,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.0199402942
